"InvoiceNo","StockCode","Description","Quantity","InvoiceDate","UnitPrice","CustomerID","Country","Region"
"537365","22632","HAND WARMER RED POLKA DOT","2","2017-03-06 10:45:00","2.13","12583.0","Canada","AMER"
"537365","22632","HAND WARMER RED POLKA DOT","11","2017-03-06 10:45:00","2.32","12583.0","Canada","AMER"
"537365","22752","SET 7 BABUSHKA NESTING BOXES","8","2017-03-06 10:45:00","8.09","12583.0","Canada","AMER"
"537366","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","1","2017-04-24 09:02:00","3.35","15311.0","Belgium","EMEA"
"537367","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","6","2017-04-24 15:00:00","3.75","16029.0","EIRE","EMEA"
"537368","20685","DOORMAT RED RETROSPOT","7","2017-04-09 13:14:00","7.14","13777.0","Netherlands","EMEA"
"537368","84406B","CREAM CUPID HEARTS COAT HANGER","2","2017-04-09 13:14:00","3.09","13777.0","Netherlands","EMEA"
"537369","22752","SET 7 BABUSHKA NESTING BOXES","7","2017-03-05 09:46:00","8.12","16029.0","Australia","APAC"
"537369","47566","PARTY BUNTING","10","2017-03-05 09:46:00","5.37","16029.0","Australia","APAC"
"537369","71053","WHITE METAL LANTERN","6","2017-03-05 09:46:00","3.85","16029.0","Australia","APAC"
"537370","21730","GLASS STAR FROSTED T-LIGHT HOLDER","10","2017-03-03 15:26:00","4.43","14606.0","USA","AMER"
"537371","84029E","RED WOOLLY HOTTIE WHITE HEART","7","2017-04-03 11:28:00","3.69","13777.0","Germany","EMEA"
"537371","84029E","RED WOOLLY HOTTIE WHITE HEART","4","2017-04-03 11:28:00","3.59","13777.0","Germany","EMEA"
"537371","20685","DOORMAT RED RETROSPOT","11","2017-04-03 11:28:00","7.46","13777.0","Germany","EMEA"
"537372","84406B","CREAM CUPID HEARTS COAT HANGER","4","2017-04-10 15:41:00","2.69","14096.0","EIRE","EMEA"
"537373","85099B","JUMBO BAG RED RETROSPOT","1","2017-03-22 12:24:00","1.8","13047.0","Canada","AMER"
"537373","85123A","WHITE HANGING HEART T-LIGHT HOLDER","2","2017-03-22 12:24:00","2.65","13047.0","Canada","AMER"
